Date,Cost,Gal,Mile
6/16/17,10.37,4.052,83.4
6/19/17,15.29,7.426,194.7
7/14/17,21.21,10.567,274.8
7/24/17,24.53,12.269,254.1
8/18/17,19.42,9.081,163.3
10/1/17,24.25,10.193,245.5
10/14/17,23.52,10.413,245.5
11/11/17,21.96,9.635,235.0
12/8/17,20.50,9.409,189.0
1/4/18,38.43,17.475,385.7
1/19/18,25.86,11.761,357.1
2/4/18,20.01,8.557,174.7
3/11/18,21.03,9.311,204.7
4/6/18,42.00,18,510.0
4/27/18,24.07,9.335,140.4
5/6/18,28.74,11.143,183.1
5/17/18,17.27,6.593,147.5
5/28/18,33.15,12.468,298.5
6/15/18,28.62,10.844,222.0
6/22/18,30.92,11.989,241.5
6/29/18,30.88,11.964,236.4
7/3/18,24.13,9.355,245.7
7/11/18,28.31,10.978,226.0
7/17/18,31.64,12.27,234.9
7/30/18,27.16,10.533,201.2
8/9/18,27.52,10.671,174.7
8/12/18,26.24,10.5,216.5
8/19/18,26.26,10.343,255.4
8/27/18,29.38,11.572,211.6
9/8/18,31.49,11.844,206.4
9/22/18,30.51,11.741,228.4
10/7/18,18.30,8.555,160.5
10/28/18,23.28,10.884,214.2
11/11/18,21.02,10.956,234.4
11/21/18,27.41,11.472,235.9
11/30/18,19.48,11.464,244.7
12/14/18,16.49,10.187,209.1
12/28/18,11.11,7.555,122.3
1/3/19,14.89,10.068,176.6
1/7/19,19.86,13.804,376.7
1/18/19,14.99,7.892,167.0
2/8/19,22.91,11.462,195.1
2/15/19,16.56,8.368,187.0
2/28/19,27.12,11.796,219.9
3/8/19,16.83,7.319,142.0
3/29/19,25.94,10.903,230.4
4/5/19,18.40,7.733,152.2
4/19/19,33.07,12.822,227.8
4/28/19,36.04,14.01,302.0
5/13/19,29.69,11.291,222.1
6/6/19,13.17,5.654,114.3
6/20/19,25.90,11.568,167.3
7/3/19,25.74,10.552,184.0
7/9/19,28.16,11.545,251.2
7/18/19,29.81,12.221,211.8
8/3/19,23.09,9.467,160.4
8/23/19,13.31,6.796,102.0
9/6/19,24.43,10.185,214.4
9/14/19,22.05,11.614,174.3
9/27/19,22.18,9.021,170.8
10/12/19,26.37,10.722,186.8
10/26/19,16.76,9.315,179.6
11/16/19,28.17,11.942,239.4
12/7/19,25.31,10.731,193.1
12/21/19,22.62,9.587,187.8
12/30/19,27.42,11.15,201.4
1/4/20,12.19,4.957,102.8
1/11/20,26.18,10.648,265.1
1/28/20,30.51,12.716,215.8
2/13/20,27.91,11.83,250.8
2/23/20,23.49,10.306,210.3
3/15/20,19.65,9.828,268.4
5/10/20,17.32,10.83,268.4
5/15/20,13.69,12.019,268.4
5/29/20,11.85,7.232,184.5
6/4/20,11.86,6.983,176.9
6/12/20,20.76,10.934,270.5
7/8/20,16.08,8.381,217.9
7/24/20,16.14,8.154,221.8
7/30/20,16.42,8.34,218.1
8/28/20,18.60,9.307,190.1
9/11/20,22.92,11.464,306.5
9/25/20,20.80,10.726,301.7
10/12/20,25.32,12.858,307.3
11/1/20,23.04,11.7,361.9
12/17/20,22.43,10.43,264.0
1/8/21,26.32,12.541,308.2
1/22/21,27.80,12.642,318.2
2/5/21,24.67,11.218,298.7
2/21/21,28.12,10.989,276.9
3/21/21,33.56,12.343,381.1
4/8/21,31.92,11.826,314.0
4/25/21,31.28,11.588,312.4
5/27/21,33.55,11.735,301.4
6/10/21,35.39,12.378,353.5
6/20/21,31.77,10.96,309.1
7/1/21,29.77,10.412,278.4
7/14/21,38.70,13.536,349.5
7/26/21,37.01,12.944,362.6
8/2/21,31.52,11.025,309.1
